"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"INDIAN JOURNAL OF PAEDIATRIC DERMATOLOGY","2319-7250","2319-7269","WOLTERS KLUWER MEDKNOW PUBLICATIONS","Wolters Kluwer India Private LTD, Smartworks, Marisoft, Wing -C, Wadgaon Sheri, Kalyani Nagar Annex, Pune, India, Maharashtra, 411014","English","Dermatology | Pediatrics"
"INDIAN JOURNAL OF PALLIATIVE CARE","0973-1075","1998-3735","SCIENTIFIC SCHOLAR LLC","50, WOODGREEN DR, PITTSFORD, USA, NY, 14534","English","Health Care Sciences & Services"
"INDIAN JOURNAL OF PLASTIC SURGERY","0970-0358","1998-376X","THIEME MEDICAL PUBL INC","333 SEVENTH AVE, NEW YORK, USA, NY, 10001","English","Surgery"
"INDIAN JOURNAL OF PSYCHOLOGICAL MEDICINE","0253-7176","0975-1564","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychiatry | Psychology"
"INDIAN JOURNAL OF PSYCHOLOGICAL SCIENCE","0976-9218","0976-9218","NATL ASSOC PSYCHOLOGICAL SCIENCE","2265, SECTOR-19C, CHANDIGARH, HARYANA, INDIA, 160 017","English","Psychology, Multidisciplinary"
"INDIAN JOURNAL OF RADIOLOGY AND IMAGING","0971-3026","1998-3808","THIEME MEDICAL PUBL INC","333 SEVENTH AVE, NEW YORK, USA, NY, 10001","English","Radiology, Nuclear Medicine & Medical Imaging"
"INDIAN JOURNAL OF RESPIRATORY CARE","2277-9019","2321-4899","JAYPEE BROTHERS MEDICAL PUBLISHERS PVT LTD","4347-B/4C, Madan Mohan Street, Ansari Road, Daryaganj, NEW DEHLI, India, 110 002","English","Respiratory System"
"INDIAN JOURNAL OF RHEUMATOLOGY","0973-3698","0973-3701","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Rheumatology"
"INDIAN JOURNAL OF SEXUALLY TRANSMITTED DISEASES AND AIDS","2589-0557","2589-0565","WOLTERS KLUWER MEDKNOW PUBLICATIONS","Wolters Kluwer India Private LTD, Smartworks, Marisoft, Wing -C, Wadgaon Sheri, Kalyani Nagar Annex, Pune, India, Maharashtra, 411014","English","Infectious Diseases"
"INDIAN JOURNAL OF SURGICAL ONCOLOGY","0975-7651","0976-6952","SPRINGER INDIA","7TH FLOOR, VIJAYA BUILDING, 17, BARAKHAMBA ROAD, NEW DELHI, INDIA, 110 001","English","Oncology"
