Source title,Source Type,ISSN,EISSN,Publisher,Country/Region,Language,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8
International Journal of Information and Communication Technology,Journal,14666642,17418070,Inderscience Publishers,United Kingdom,ENGLISH,Computer Networks and Communications,Computer Science Applications,Information Systems,Software,-,-,-,-
International Journal of Information and Communication Technology Education,Journal,15501876,15501337,IGI Global,United States,ENGLISH,Computer Science Applications,Education,-,-,-,-,-,-
International Journal of Information and Computer Security,Journal,17441765,17441773,Inderscience Publishers,United Kingdom,ENGLISH,Computer Networks and Communications,Hardware and Architecture,Software,"Safety, Risk, Reliability and Quality",-,-,-,-
International Journal of Information and Management Sciences,Journal,10171819,-,Tamkang University,Taiwan,ENGLISH,Management Information Systems,Strategy and Management,Information Systems and Management,Control and Systems Engineering,Industrial and Manufacturing Engineering,-,-,-
International Journal of Information Management,Journal,02684012,-,Elsevier Ltd,United Kingdom,ENGLISH,Management Information Systems,Marketing,Artificial Intelligence,Computer Networks and Communications,Information Systems,Information Systems and Management,Library and Information Sciences,-
International Journal of Information Quality,Journal,17510457,17510465,Inderscience Publishers,United Kingdom,ENGLISH,Computer Science Applications,Information Systems,-,-,-,-,-,-
International Journal of Information Security,Journal,16155262,16155270,Springer Science and Business Media Deutschland GmbH,Germany,ENGLISH,Computer Networks and Communications,Information Systems,Software,"Safety, Risk, Reliability and Quality",-,-,-,-
International Journal of Information Security and Privacy,Journal,19301650,19301669,IGI Global,United States,ENGLISH,Information Systems,-,-,-,-,-,-,-
International Journal of Information System Modeling and Design,Journal,19478186,19478194,IGI Global,United States,ENGLISH,Management of Technology and Innovation,Information Systems,-,-,-,-,-,-
International Journal of Information Systems and Change Management,Journal,14793121,1479313X,Inderscience Publishers,United Kingdom,ENGLISH,"Business, Management and Accounting (all)",Decision Sciences (all),-,-,-,-,-,-
International Journal of Information Systems and Supply Chain Management,Journal,19355726,19355734,IGI Global,United States,ENGLISH,Management Information Systems,Information Systems,-,-,-,-,-,-
International Journal of Information Systems in the Service Sector,Journal,19355688,19355696,IGI Global,United States,ENGLISH,Management Information Systems,Strategy and Management,Information Systems,Information Systems and Management,Management Science and Operations Research,-,-,-
International Journal of Information Technologies and Systems Approach,Journal,1935570X,19355718,IGI Global,United States,ENGLISH,Computer Science (all),-,-,-,-,-,-,-
International Journal of Information Technology and Decision Making,Journal,02196220,17936845,World Scientific,Singapore,ENGLISH,Computer Science (miscellaneous),-,-,-,-,-,-,-
International Journal of Information Technology and Management,Journal,14614111,17415179,Inderscience Publishers,Switzerland,ENGLISH,Computer Networks and Communications,Computer Science Applications,Hardware and Architecture,Software,-,-,-,-
International Journal of Information Technology and Web Engineering,Journal,15541045,15541053,IGI Global,United States,ENGLISH,Computer Science (all),-,-,-,-,-,-,-
International Journal of Innovation and Sustainable Development,Journal,17408822,17408830,Inderscience Publishers,United Kingdom,ENGLISH,Management of Technology and Innovation,"Renewable Energy, Sustainability and the Environment",-,-,-,-,-,-
International Journal of Innovation Science,Journal,17572223,17572231,Emerald Publishing,United Kingdom,ENGLISH,Management of Technology and Innovation,Engineering (all),-,-,-,-,-,-
International Journal of Innovative Computing and Applications,Journal,1751648X,17516498,Inderscience Publishers,United Kingdom,ENGLISH,Hardware and Architecture,Software,Theoretical Computer Science,-,-,-,-,-
"International Journal of Innovative Computing, Information and Control",Journal,13494198,-,ICIC International,Japan,ENGLISH,Computational Theory and Mathematics,Information Systems,Software,Theoretical Computer Science,-,-,-,-
International Journal of Intelligent Computing and Cybernetics,Journal,1756378X,17563798,Emerald Publishing,United Kingdom,ENGLISH,Computer Science (all),-,-,-,-,-,-,-
International Journal of Intelligent Information and Database Systems,Journal,17515858,17515866,Inderscience Publishers,United Kingdom,ENGLISH,Information Systems,-,-,-,-,-,-,-
International Journal of Intelligent Information Technologies,Journal,15483657,15483665,IGI Global,United States,ENGLISH,Information Systems,Decision Sciences (miscellaneous),-,-,-,-,-,-
International Journal of Intelligent Networks,Journal,-,26666030,KeAi Communications Co.,China,ENGLISH,Computer Science (all),Artificial Intelligence,Computer Networks and Communications,Signal Processing,Electrical and Electronic Engineering,-,-,-
International Journal of Intelligent Robotics and Applications,Journal,23665971,2366598X,Springer,Singapore,ENGLISH,Artificial Intelligence,Computer Science Applications,-,-,-,-,-,-
International Journal of Intelligent Systems,Journal,08848173,1098111X,John Wiley and Sons Inc,United States,ENGLISH,Artificial Intelligence,Human-Computer Interaction,Software,Theoretical Computer Science,-,-,-,-
International Journal of Intelligent Systems Technologies and Applications,Journal,17408865,17408873,Inderscience Publishers,United Kingdom,ENGLISH,Computer Science (all),-,-,-,-,-,-,-
International Journal of Intelligent Transportation Systems Research,Journal,13488503,18688659,Springer,United States,ENGLISH,Computer Science Applications,Human-Computer Interaction,Information Systems,Automotive Engineering,Control and Systems Engineering,Neuroscience (all),Transportation,-
International Journal of Interactive Mobile Technologies ,Journal,-,18657923,International Federation of Engineering Education Societies (IFEES),United States,ENGLISH,Computer Networks and Communications,Computer Science Applications,Education,-,-,-,-,-
International Journal of Interdisciplinary Telecommunications and Networking,Journal,19418663,19418671,IGI Global,United States,ENGLISH,Computer Networks and Communications,-,-,-,-,-,-,-
International Journal of Internet Manufacturing and Services,Journal,17516048,17516056,Inderscience Publishers,United Kingdom,ENGLISH,Computer Networks and Communications,Information Systems and Management,Industrial and Manufacturing Engineering,-,-,-,-,-
International Journal of Internet Protocol Technology,Journal,17438209,17438217,Inderscience Publishers,Switzerland,ENGLISH,Computer Networks and Communications,-,-,-,-,-,-,-
International Journal of Knowledge Management,Journal,15480666,15480658,IGI Global,United States,ENGLISH,Management Information Systems,Management of Technology and Innovation,Computer Science Applications,-,-,-,-,-
International Journal of Knowledge-Based and Intelligent Engineering Systems,Journal,13272314,18758827,SAGE Publications Ltd,United Kingdom,ENGLISH,Artificial Intelligence,Software,"Statistics, Probability and Uncertainty",Control and Systems Engineering,Statistics and Probability,-,-,-
International Journal of Knowledge-Based Development,Journal,20404468,20404476,Inderscience Publishers,United Kingdom,ENGLISH,Management of Technology and Innovation,Strategy and Management,Information Systems and Management,-,-,-,-,-
International Journal of Life Cycle Assessment,Journal,09483349,16147502,Springer,Germany,ENGLISH,Environmental Science (all),-,-,-,-,-,-,-
International Journal of Lightweight Materials and Manufacture,Journal,-,25888404,KeAi Publishing Communications Ltd.,China,ENGLISH,Industrial and Manufacturing Engineering,Mechanics of Materials,Materials Science (all),-,-,-,-,-
International Journal of Low-Carbon Technologies,Journal,17481317,17481325,Oxford University Press,United Kingdom,ENGLISH,"Renewable Energy, Sustainability and the Environment",Civil and Structural Engineering,Architecture,Environmental Science (all),-,-,-,-
International Journal of Machine Learning and Cybernetics,Journal,18688071,1868808X,Springer Science and Business Media Deutschland GmbH,Germany,ENGLISH,Artificial Intelligence,Computer Vision and Pattern Recognition,Software,-,-,-,-,-
International Journal of Machine Tools and Manufacture,Journal,08906955,-,Elsevier Ltd,United Kingdom,ENGLISH,Industrial and Manufacturing Engineering,Mechanical Engineering,-,-,-,-,-,-
International Journal of Machining and Machinability of Materials,Journal,17485711,1748572X,Inderscience Publishers,United Kingdom,ENGLISH,Industrial and Manufacturing Engineering,Mechanical Engineering,Mechanics of Materials,-,-,-,-,-
International Journal of Manufacturing Research,Journal,17500591,17500605,Inderscience Publishers,United Kingdom,ENGLISH,Computer Science Applications,Control and Systems Engineering,Industrial and Manufacturing Engineering,Modeling and Simulation,-,-,-,-
International Journal of Manufacturing Technology and Management,Journal,13682148,17415195,Inderscience Publishers,Switzerland,ENGLISH,Strategy and Management,Computer Science Applications,Information Systems and Management,Electrical and Electronic Engineering,Industrial and Manufacturing Engineering,-,-,-
International Journal of Material Forming,Journal,19606206,19606214,Springer-Verlag Italia s.r.l.,Italy,ENGLISH,Materials Science (all),-,-,-,-,-,-,-
International Journal of Materials and Product Technology,Journal,02681900,17415209,Inderscience Publishers,Switzerland,ENGLISH,Industrial and Manufacturing Engineering,Mechanical Engineering,Mechanics of Materials,"Safety, Risk, Reliability and Quality",-,-,-,-
International Journal of Materials Research,Journal,18625282,21958556,Walter de Gruyter GmbH,Germany,ENGLISH,Physical and Theoretical Chemistry,Materials Chemistry,Metals and Alloys,Condensed Matter Physics,-,-,-,-
"International Journal of Mathematical, Engineering and Management Sciences",Journal,-,24557749,Ram Arti Publishers,India,ENGLISH,"Business, Management and Accounting (all)",Computer Science (all),Engineering (all),Mathematics (all),-,-,-,-
International Journal of Mechanical Engineering Education,Journal,03064190,20504586,SAGE Publications Inc.,United Kingdom,ENGLISH,Mechanical Engineering,Education,-,-,-,-,-,-
International Journal of Mechanical Sciences,Journal,00207403,-,Elsevier Ltd,United Kingdom,ENGLISH,Multidisciplinary,Aerospace Engineering,Civil and Structural Engineering,Mechanical Engineering,Mechanics of Materials,Ocean Engineering,Materials Science (all),Applied Mathematics
International Journal of Mechanical System Dynamics,Journal,27671399,27671402,John Wiley and Sons Inc,United States,ENGLISH,Aerospace Engineering,Automotive Engineering,Civil and Structural Engineering,Computational Mechanics,Control and Systems Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,-
International Journal of Mechanics and Materials in Design,Journal,15691713,15738841,Springer Science and Business Media B.V.,Netherlands,ENGLISH,Mechanical Engineering,Mechanics of Materials,Materials Science (all),-,-,-,-,-
International Journal of Mechatronics and Applied Mechanics,Journal,25596497,25594397,Cefin Publishing House,Romania,ENGLISH,Artificial Intelligence,Mechanics of Materials,Materials Science (all),-,-,-,-,-
International Journal of Mechatronics and Manufacturing Systems,Journal,17531039,17531047,Inderscience Publishers,Switzerland,ENGLISH,Electrical and Electronic Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,-,-,-,-,-
International Journal of Medical Informatics,Journal,13865056,18728243,Elsevier Ireland Ltd,Ireland,ENGLISH,Health Informatics,-,-,-,-,-,-,-
International Journal of Medical Robotics and Computer Assisted Surgery,Journal,14785951,1478596X,John Wiley and Sons Ltd,United Kingdom,ENGLISH,Biophysics,Computer Science Applications,Surgery,-,-,-,-,-
"International Journal of Metadata, Semantics and Ontologies",Journal,17442621,1744263X,Inderscience Publishers,Switzerland,ENGLISH,Computer Science Applications,Information Systems,Library and Information Sciences,-,-,-,-,-
International Journal of Metalcasting,Journal,19395981,21633193,Springer Science and Business Media Deutschland GmbH,Switzerland,ENGLISH,Industrial and Manufacturing Engineering,Mechanics of Materials,Materials Chemistry,Metals and Alloys,-,-,-,-
International Journal of Metrology and Quality Engineering,Journal,21076839,21076847,EDP Sciences,France,ENGLISH,"Safety, Risk, Reliability and Quality",-,-,-,-,-,-,-
International Journal of Micro Air Vehicles,Journal,17568293,17568307,SAGE Publications Inc.,United Kingdom,ENGLISH,Aerospace Engineering,-,-,-,-,-,-,-
